seed,timestamp,config_id,scope,mode,sr,delay_set,rt60_target,gamma_used,u0,u1,u2,u3,spectral_loss_like,spectral_dev_db,rt60_s,rt60_method,edt_s,ringiness,kurtosis_mean_50_300ms,echo_density_events_per_s_50_300ms,sanity_max_db_error
0,2026-02-26T09:38:10.941110+00:00,householder_prime_rt60_2p8_paper_seed0,fixed,Fixed Householder,48000,prime,2.8,0.9999486043321197,0.5,0.5,0.5,0.5,0.6713636718595749,6.6204700713388585,2.797986734961731,T30,2.7647259422667676,16.025809022651416,303.9954638411515,72.54901960784314,2.309245054021858e-05
0,2026-02-26T09:38:10.941110+00:00,householder_prime_rt60_2p8_paper_seed0,u_only,Diff Householder (u-only),48000,prime,2.8,0.9999486043321197,0.28585505463829164,-0.12994183278557872,-0.9399691183982686,0.1336415515011929,0.8487517471144822,6.085431425175307,2.7966808945091346,T30,2.767210510292319,14.955595342002763,523.0747226373888,58.8235294117647,9.941912489708216e-06
0,2026-02-26T09:38:10.941110+00:00,householder_prime_rt60_2p8_paper_seed0,full,Diff Householder (u+b+c),48000,prime,2.8,0.9999486043321197,0.28585505463829164,-0.12994183278557872,-0.9399691183982686,0.1336415515011929,0.8487517471144822,6.085431425175307,2.7966808945091346,T30,2.767210510292319,14.955595342002763,523.0747226373888,58.8235294117647,9.941912489708216e-06
1,2026-02-26T09:38:30.872808+00:00,householder_prime_rt60_2p8_paper_seed1,fixed,Fixed Householder,48000,prime,2.8,0.9999486043321197,0.5,0.5,0.5,0.5,0.6713636718595749,6.6204700713388585,2.797986734961731,T30,2.7647259422667676,16.025809022651416,303.9954638411515,72.54901960784314,2.309245054021858e-05
1,2026-02-26T09:38:30.872808+00:00,householder_prime_rt60_2p8_paper_seed1,u_only,Diff Householder (u-only),48000,prime,2.8,0.9999486043321197,0.14322411381866038,0.29902329534403654,0.3048557137983408,0.8928241236811182,0.48668017220721504,4.697447675766008,2.802822654729745,T30,2.8739908408496517,12.599250967922806,415.88567925687045,58.8235294117647,5.661707119131165e-06
1,2026-02-26T09:38:30.872808+00:00,householder_prime_rt60_2p8_paper_seed1,full,Diff Householder (u+b+c),48000,prime,2.8,0.9999486043321197,0.14322411381866038,0.29902329534403654,0.3048557137983408,0.8928241236811182,0.48668017220721504,4.697447675766008,2.802822654729745,T30,2.8739908408496517,12.599250967922806,415.88567925687045,58.8235294117647,5.661707119131165e-06
2,2026-02-26T09:38:50.793843+00:00,householder_prime_rt60_2p8_paper_seed2,fixed,Fixed Householder,48000,prime,2.8,0.9999486043321197,0.5,0.5,0.5,0.5,0.6713636718595749,6.6204700713388585,2.797986734961731,T30,2.7647259422667676,16.025809022651416,303.9954638411515,72.54901960784314,2.309245054021858e-05
2,2026-02-26T09:38:50.793843+00:00,householder_prime_rt60_2p8_paper_seed2,u_only,Diff Householder (u-only),48000,prime,2.8,0.9999486043321197,0.11982311497858272,-0.3062440410260341,-0.30550928646545134,-0.8936000695704119,0.5124392258911505,4.550602270447634,2.8004565561882124,T30,2.9336588033203217,15.62175060302048,439.84675968278333,58.8235294117647,5.883598574563109e-06
2,2026-02-26T09:38:50.793843+00:00,householder_prime_rt60_2p8_paper_seed2,full,Diff Householder (u+b+c),48000,prime,2.8,0.9999486043321197,0.11982311497858272,-0.3062440410260341,-0.30550928646545134,-0.8936000695704119,0.5124392258911505,4.550602270447634,2.8004565561882124,T30,2.9336588033203217,15.62175060302048,439.84675968278333,58.8235294117647,5.883598574563109e-06
3,2026-02-26T09:39:12.532146+00:00,householder_prime_rt60_2p8_paper_seed3,fixed,Fixed Householder,48000,prime,2.8,0.9999486043321197,0.5,0.5,0.5,0.5,0.6713636718595749,6.6204700713388585,2.7979867349617242,T30,2.7647259422667667,16.025809022019978,303.9954638411515,72.54901960784314,2.3092450557982147e-05
3,2026-02-26T09:39:12.532146+00:00,householder_prime_rt60_2p8_paper_seed3,u_only,Diff Householder (u-only),48000,prime,2.8,0.9999486043321197,0.8453944363636915,0.32075544444219434,0.3366135018305298,-0.26289834957906155,0.531367843230302,4.609919217601477,2.7986043082316376,T30,2.877659541595434,11.416217296225241,277.30324825233845,74.50980392156863,9.557809080185109e-06
3,2026-02-26T09:39:12.532146+00:00,householder_prime_rt60_2p8_paper_seed3,full,Diff Householder (u+b+c),48000,prime,2.8,0.9999486043321197,0.8453944363636915,0.32075544444219434,0.3366135018305298,-0.26289834957906155,0.531367843230302,4.609919217601477,2.7986043082316376,T30,2.877659541595434,11.416217296225241,277.30324825233845,74.50980392156863,9.557809080185109e-06
4,2026-02-26T09:39:34.530269+00:00,householder_prime_rt60_2p8_paper_seed4,fixed,Fixed Householder,48000,prime,2.8,0.9999486043321197,0.5,0.5,0.5,0.5,0.6713636718595749,6.6204700713388585,2.797986734961731,T30,2.7647259422667676,16.025809022651416,303.9954638411515,72.54901960784314,2.309245054021858e-05
4,2026-02-26T09:39:34.530269+00:00,householder_prime_rt60_2p8_paper_seed4,u_only,Diff Householder (u-only),48000,prime,2.8,0.9999486043321197,-0.2782283811464656,0.18265331228852857,0.8336279456202162,0.4407847362553112,0.8835038516375867,6.375897674957895,2.80110781232436,T30,2.7375792935728507,17.742520860194876,384.73915390122994,58.8235294117647,9.502749435341684e-06
4,2026-02-26T09:39:34.530269+00:00,householder_prime_rt60_2p8_paper_seed4,full,Diff Householder (u+b+c),48000,prime,2.8,0.9999486043321197,-0.2782283811464656,0.18265331228852857,0.8336279456202162,0.4407847362553112,0.8835038516375867,6.375897674957895,2.80110781232436,T30,2.7375792935728507,17.742520860194876,384.73915390122994,58.8235294117647,9.502749435341684e-06
